Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age,Sex_I,Sex_M
0.9875,0.7625,0.2625,7.994559,2.76407625,1.8427175,2.721552,9,0,1
1.775,1.3875,0.4375,60.66793,35.30930225,10.56018875,12.303683,11,0,1
1.7375,1.4,0.4625,50.22113925,23.23241525,9.3836845,12.3887315,10,0,0
1.1625,0.8875,0.275,13.437663,6.520385,2.84912475,3.40194,7,1,0
1.1625,0.9375,0.3375,17.0097,6.30776375,3.6570855,6.520385,16,0,0
1.425,1.125,0.375,27.34309275,15.0535845,5.3580555,5.9250455,9,0,0
1.6125,1.25,0.4375,37.94580575,17.9452335,8.4765005,9.8939755,11,0,1
1.1375,0.875,0.2625,11.793392,4.60679375,2.7499015,4.1106775,11,0,1
1.75,1.45,0.5125,60.384435,21.02115425,13.891255,16.44271,20,0,1
1.575,1.2625,0.375,37.32211675,17.93105875,6.98815175,10.489315,11,0,1
1.475,1.1375,0.4375,27.385617,11.0846545,6.95980225,8.788345,10,0,0
1.4125,1.1,0.2875,26.03901575,11.453198,5.06038575,8.221355,11,0,1
0.8875,0.6375,0.2,5.3013565,2.211261,1.43164975,1.644271,7,1,0
1.5,1.175,0.425,30.63163475,14.16057525,6.36446275,9.08601475,9,0,0
1.45,1.15,0.325,26.1098895,10.1207715,5.1312595,8.221355,13,0,1
1.2125,1.025,0.375,19.731252,6.81805475,4.60679375,7.5126175,13,0,1
1.475,1.15,0.3625,26.3366855,10.77281,6.80388,7.2291225,10,0,1
1.05,0.8,0.2875,11.5949455,5.82582225,2.65067825,2.9766975,8,1,0
1.0875,0.8375,0.275,9.468733,3.84135725,2.19708625,2.73572675,7,1,0
0.925,0.7,0.25,7.144074,3.01922175,1.68679525,2.097863,8,0,1
1.25,0.975,0.3375,18.69649525,8.91591775,4.35164825,4.43669675,6,0,1
1.725,1.35,0.4625,44.55123925,19.66037825,9.015141,13.324265,15,0,0
1.625,1.2875,0.45,41.4753185,18.653971,8.88756825,11.66581925,11,0,1
0.725,0.525,0.1625,2.7499015,1.06310625,0.623689,0.850485,6,1,0
0.7875,0.5875,0.1375,4.2807745,1.8427175,0.7654365,1.1056305,6,1,0
1.475,1.15,0.3125,21.4038725,9.468733,4.252425,6.747181,9,1,0
1.4375,1.125,0.4,30.277266,15.762322,6.066793,7.29999625,10,0,0
1.375,1.0625,0.3125,27.328918,15.52135125,4.5075705,6.0951425,8,0,0
1.425,1.0375,0.325,24.94756,12.11941125,5.54232725,6.747181,13,0,1
1.3125,1.0,0.3125,16.03164225,6.90310325,3.3735905,4.9611625,8,1,0
0.5875,0.4,0.15,1.54504775,0.75126175,0.26932025,0.4252425,4,0,1
1.4,1.05,0.375,24.81998725,12.47378,5.57067675,6.56290925,8,0,1
0.925,0.675,0.225,5.25883225,1.984465,1.20485375,1.8427175,7,1,0
1.125,0.9,0.3125,14.35902175,6.293589,2.9766975,4.53592,10,0,0
1.175,0.9,0.2625,15.422128,7.654365,3.95475525,3.6570855,7,0,1
1.05,0.7625,0.275,7.93786,2.664853,2.22543575,2.70737725,9,1,0
1.7,1.3,0.4375,43.7432785,21.33299875,9.9506745,10.602713,11,0,1
0.8125,0.675,0.25,5.2446575,2.26796,1.23320325,1.8427175,6,1,0
1.625,1.275,0.4625,38.9805625,15.0535845,10.886208,11.29727575,10,0,0
1.525,1.125,0.4,32.205032,11.736693,8.8166945,8.50485,9,0,0
1.55,1.125,0.5,24.323871,12.14776075,4.32329875,6.81805475,8,0,1
1.6125,1.25,0.4375,42.82191975,19.09338825,10.64523725,10.70193625,12,0,1
1.375,1.1125,0.3625,22.1976585,8.63242275,4.4508715,7.5126175,11,1,0
1.725,1.2625,0.5,53.070264,25.3161035,11.38232425,13.60776,10,0,1
1.3875,1.0625,0.45,24.8058125,10.47514025,5.68407475,7.2291225,11,1,0
0.7,0.3,0.1875,3.3168915,1.28990225,0.8221355,0.97805775,4,1,0
1.4,1.1375,0.4125,24.38057,11.38232425,4.80524025,6.9456275,11,0,1
1.225,0.925,0.2875,15.3370795,4.8477645,3.33106625,5.2446575,11,0,0
0.7625,0.6125,0.1875,4.422522,1.91359125,1.077281,1.2757275,7,1,0
1.1875,0.8875,0.2875,14.72756525,7.9095105,2.494756,3.75630875,7,1,0
1.425,1.125,0.3375,22.509503,10.81533425,4.01145425,6.9456275,8,1,0
1.2125,0.975,0.25,15.77649675,6.27941425,3.27436725,5.2446575,9,0,0
1.2375,0.9375,0.3,16.6978555,8.71747125,3.44446425,3.98310475,8,1,0
1.2875,0.9625,0.275,16.40018575,7.1724235,4.53592,3.96893,8,0,1
0.9,0.675,0.25,6.1518415,2.50893075,1.40330025,2.02698925,6,0,1
1.6125,1.2875,0.375,34.359594,14.5999925,5.82582225,10.9145575,10,0,0
1.45,1.15,0.3,28.16522825,13.11164375,6.76135575,7.93786,11,0,0
1.375,1.025,0.325,24.67823975,12.62970225,5.99591925,6.0384435,9,0,1
1.45,1.0875,0.375,23.7852305,9.87980075,5.8683465,5.443104,7,0,0
1.2625,0.9875,0.3375,16.76872925,8.164656,3.72795925,5.2446575,12,0,1
1.725,1.2875,0.45,52.29065275,27.82503425,13.19669225,9.6671795,13,0,1
1.5,1.125,0.35,24.6357155,9.70970375,5.5281525,8.2497045,11,0,0
1.6125,1.275,0.4,33.55163325,15.762322,6.76135575,9.7805775,11,0,1
1.3625,1.05,0.3125,27.62658775,10.0073735,4.932813,8.6465975,13,0,1
1.0,0.75,0.3125,11.8217415,5.4147545,2.551455,3.33106625,9,0,1
1.6375,1.25,0.55,38.5269705,18.200379,9.22776225,11.4815475,13,0,0
1.7625,1.4,0.425,41.31939625,17.2081465,9.015141,12.47378,11,0,0
1.625,1.2875,0.4625,38.96638775,21.262125,5.11708475,10.4609655,12,0,1
0.8625,0.6625,0.25,6.95980225,3.1467945,1.51669825,1.8427175,7,1,0
1.4,1.1,0.35,26.32251075,10.84368375,5.329706,8.50485,11,0,0
1.4375,1.2,0.375,26.83280175,12.34620725,7.38504475,7.10154975,9,0,1
0.8,0.6375,0.25,4.97533725,2.0695135,1.17650425,1.8427175,7,1,0
2.0,1.575,0.4875,71.610837,26.4500835,16.726205,17.57669,23,0,0
0.8625,0.675,0.225,5.5281525,2.211261,1.28990225,1.6726205,9,0,1
0.5875,0.4375,0.1625,1.74349425,0.58116475,0.56699,0.5386405,6,1,0
1.525,1.2375,0.4625,31.42542075,10.50348975,8.88756825,9.355335,12,0,0
1.5625,1.2,0.4,32.36095425,16.42853525,6.08096775,8.221355,9,0,1
1.1125,0.8375,0.25,13.87708025,7.78193775,2.438057,3.13261975,7,1,0
0.9,0.625,0.2875,13.1825175,5.953395,2.99087225,3.628736,7,1,0
1.575,1.225,0.375,33.89182725,16.57028275,7.2858215,8.50485,9,0,1
1.3125,1.0625,0.475,24.720764,13.11164375,4.89028875,5.6415505,9,0,1
1.025,0.8125,0.2625,10.2341695,4.55009475,1.88524175,2.9199985,8,1,0
1.4375,1.175,0.4625,27.9242575,10.61688775,6.16601625,10.0640725,10,0,1
0.9625,0.75,0.25,7.72523875,3.16096925,1.6159215,2.26796,6,0,0
1.525,1.225,0.4,32.72949775,16.62698175,6.76135575,8.26387925,11,1,0
1.5,1.2625,0.475,32.0065855,12.43125575,7.257472,10.20582,13,0,0
1.6,1.2375,0.425,32.2900805,15.29455525,7.994559,8.0796075,10,0,1
1.3125,1.0125,0.3625,19.74542675,8.63242275,4.35164825,5.953395,8,1,0
0.925,0.6875,0.225,5.85417175,2.721552,1.11980525,1.644271,7,1,0
1.475,1.1375,0.4,30.900955,14.17475,6.27941425,8.278054,9,0,1
1.7625,1.375,0.425,34.5580405,18.12950525,6.690482,8.5331995,9,0,0
1.4125,1.0625,0.25,20.25571775,8.66077225,4.706017,5.10291,12,0,1
1.325,0.95,0.3125,17.463292,8.278054,3.2034935,5.2446575,8,1,0
1.35,1.075,0.35,23.23241525,11.15552825,4.89028875,6.50621025,9,1,0
1.55,1.1875,0.4625,37.5630875,17.13727275,9.2135875,9.355335,13,0,1
1.375,1.0625,0.3375,24.13959925,10.262519,5.556502,7.654365,14,0,0
1.575,1.225,0.45,32.034935,12.984071,7.83863675,8.9300925,12,0,1
1.45,1.15,0.375,31.62386725,15.80484625,6.39281225,8.221355,7,0,0
0.975,0.7375,0.2375,5.7549485,2.48058125,1.2757275,2.1262125,7,1,0
0.9625,0.725,0.225,7.41339425,3.1467945,1.68679525,2.11203775,9,1,0
0.625,0.4625,0.1625,2.0128145,0.7654365,0.52446575,0.63786375,5,1,0
1.05,0.8,0.2875,10.659412,4.7910655,2.608154,2.83495,5,1,0
1.25,0.95,0.275,14.004653,6.180191,2.551455,3.75630875,7,1,0
1.775,1.4125,0.4875,51.5110415,22.2543575,13.947954,13.891255,11,0,0
1.2625,1.025,0.3375,18.6256215,8.2497045,3.7704835,5.5281525,15,0,0
1.675,1.2125,0.4375,35.62114675,15.18115725,9.128539,10.942907,9,1,0
1.125,0.8625,0.2875,14.061352,5.40057975,3.3168915,3.96893,12,0,0
1.1875,0.9,0.3,16.76872925,9.19941275,3.118445,3.6003865,6,0,0
1.4625,1.1375,0.3125,29.1149365,11.0846545,6.010094,7.087375,17,0,1
0.6375,0.475,0.175,2.31048425,0.793786,0.453592,0.8788345,5,1,0
0.7,0.5375,0.175,3.515338,1.7860185,0.60951425,0.850485,6,1,0
1.4125,1.1375,0.375,23.26076475,10.3475675,4.5075705,7.37087,18,0,0
1.2625,0.9625,0.3125,16.896302,6.9456275,2.7499015,5.953395,9,1,0
1.4125,1.1625,0.375,33.49493425,16.4710595,6.27941425,8.77417025,9,1,0
1.3875,1.025,0.3125,16.9813505,6.64795775,4.15320175,5.499803,8,0,1
1.5125,1.1875,0.35,31.68056625,15.7339725,7.2858215,7.767763,9,0,1
1.3875,1.125,0.3625,25.9397925,11.3398,6.973977,8.0796075,11,0,1
1.65,1.3125,0.5125,38.73959175,14.18892475,8.2497045,11.623295,18,0,0
1.1625,0.9,0.325,14.92601175,5.96756975,3.35941575,4.6776675,10,0,1
1.45,1.125,0.35,23.359988,9.82310175,5.00368675,7.4559185,10,0,1
1.6375,1.3,0.425,32.44600275,15.025235,6.3219385,9.865626,9,0,1
1.5,1.25,0.3875,37.761534,17.67591325,8.03708325,9.922325,8,0,0
1.5625,1.2375,0.3875,29.0582375,13.04077,5.51397775,9.63883,9,0,1
1.0375,0.775,0.2375,8.8166945,3.18931875,1.77184375,3.2601925,8,1,0
1.1,0.8375,0.275,11.169703,4.4508715,2.721552,3.458639,9,0,1
1.1,0.85,0.3375,11.26892625,4.26659975,2.67902775,3.8271825,8,0,0
0.975,0.75,0.225,8.66077225,4.0539785,1.82854275,2.4097075,9,0,1
1.3125,1.0,0.425,20.70930975,7.9095105,5.82582225,5.5281525,11,0,1
1.55,1.2,0.45,34.62891425,16.499409,7.64019025,8.8733935,12,0,0
1.6625,1.2625,0.4,36.61337925,17.8885345,8.29222875,9.07184,11,0,0
0.825,0.625,0.2375,5.91087075,2.891649,1.11980525,1.474174,7,1,0
1.7375,1.4,0.55,51.992983,23.96950225,11.963489,12.8990225,11,0,0
1.75,1.35,0.5125,49.32813,22.35358075,10.5743635,13.79203175,13,0,1
1.3125,1.0625,0.3,19.901349,9.45455825,4.15320175,6.23689,12,0,1
1.0125,0.7625,0.2625,10.27669375,4.43669675,1.99863975,3.5436875,10,1,0
1.0625,0.875,0.2625,11.1413535,3.685435,1.7860185,4.6776675,9,0,1
1.375,1.1,0.375,25.35862775,8.91591775,4.2807745,9.07184,19,0,0
0.775,0.5625,0.1875,4.3941725,1.8427175,1.0489315,1.03475675,6,1,0
1.4,1.1,0.325,20.51086325,9.8939755,4.2240755,5.6699,8,1,0
1.4875,1.2,0.5,27.6407625,10.149121,5.76912325,9.63883,15,0,0
1.3375,1.125,0.425,22.1409595,8.66077225,4.40834725,8.3631025,11,1,0
1.6875,1.275,0.4625,41.7588135,17.84601025,8.57572375,12.03436275,11,0,0
0.9,0.65,0.225,5.06038575,1.82854275,1.0489315,2.1262125,7,1,0
1.25,1.05,0.3125,17.57669,7.2291225,4.252425,5.8116475,11,0,1
1.6375,1.2875,0.3625,35.436875,14.92601175,8.0229085,8.9300925,15,1,0
0.9125,0.7125,0.2125,6.25106475,2.42388225,1.45999925,1.984465,9,0,1
1.175,0.925,0.35,14.13222575,5.93922025,3.47281375,4.1106775,10,1,0
1.4125,1.1625,0.4375,28.2077525,11.04213025,5.1879585,10.489315,15,0,1
1.3125,0.975,0.3,18.824068,8.83086925,4.1673765,5.046211,9,1,0
1.3375,1.0375,0.3375,22.11261,8.97261675,4.7910655,6.70465675,8,0,1
1.1375,0.9125,0.275,10.9145575,4.706017,1.304077,3.81300775,13,0,0
1.3,1.0,0.325,16.51358375,6.6054335,3.86970675,5.10291,10,1,0
1.4625,1.15,0.425,30.71668325,10.61688775,9.241937,9.2135875,14,0,0
1.7625,1.35,0.5125,49.8100715,23.43086175,11.8217415,13.0691195,9,0,0
1.375,1.1,0.4,27.9242575,13.16834275,5.6982495,7.654365,8,0,1
1.4,1.125,0.3875,25.86891875,10.19164525,7.6827145,9.922325,10,0,1
1.6625,1.2875,0.45,39.3774555,16.85377775,9.185238,11.1980525,10,0,0
1.725,1.3625,0.5125,54.7995835,22.26853225,12.1619355,14.118051,13,0,0
1.425,1.2375,0.4,30.94347925,12.813974,7.7961125,8.9300925,14,0,0
0.9,0.6625,0.1875,5.23048275,2.3530085,1.03475675,1.5592225,7,1,0
1.175,0.875,0.3125,12.23280925,5.386405,3.30271675,3.33106625,6,1,0
1.4875,1.1875,0.4,37.35046625,11.566596,6.633783,16.44271,21,0,1
1.425,1.1125,0.4,28.76056775,14.628342,4.649318,8.50485,10,0,1
1.5125,1.125,0.4125,34.65726375,10.1207715,5.726599,10.9145575,13,0,0
1.4375,1.1875,0.3625,24.2955215,10.39009175,4.9044635,7.6260155,9,0,1
1.1875,0.9125,0.25,3.72795925,5.74077375,2.48058125,3.4869885,7,1,0
0.875,0.6625,0.225,5.03203625,1.63009625,1.190679,1.927766,12,0,1
1.425,1.0875,0.425,24.7491135,10.829509,5.1879585,7.66853975,10,0,1
0.7375,0.5625,0.225,3.13261975,1.14815475,0.69456275,0.907184,7,1,0
1.55,1.1625,0.35,32.89959475,17.02387475,6.22271525,8.7032965,9,0,0
0.75,0.55,0.1625,3.38776525,1.474174,0.43941725,0.9922325,5,1,0
1.1875,0.9875,0.3375,16.782904,6.98815175,4.66349275,5.6699,13,0,1
1.25,0.9625,0.375,17.76096175,7.38504475,4.72019175,4.53592,10,1,0
1.125,0.8375,0.2625,12.6722265,6.61960825,4.3374735,3.3735905,7,1,0
1.3625,1.0125,0.4375,27.78251,7.32834575,5.8683465,10.77281,18,0,0
1.5625,1.2,0.4625,34.20367175,16.6411565,8.221355,8.107957,8,0,1
1.15,0.875,0.275,11.3398,4.989512,2.3530085,3.41611475,7,1,0
1.075,0.8125,0.3,12.6155275,4.6776675,2.82077525,4.3941725,8,0,0
1.4875,1.175,0.3875,33.38153625,15.365429,7.6260155,8.788345,9,0,0
0.9625,0.7,0.225,6.463686,2.90582375,1.190679,1.85689225,5,1,0
1.8125,1.45,0.4625,43.1762885,22.80717275,10.19164525,12.40290625,9,0,0
1.525,1.175,0.4125,33.40988575,16.045817,7.89533575,8.334753,11,0,0
1.5375,1.25,0.4125,37.6197865,17.0097,8.54737425,10.0640725,10,0,0
1.425,1.125,0.4,24.42309425,10.56018875,6.16601625,7.2291225,12,0,1
1.3125,1.1,0.375,23.88445375,10.44679075,5.62737575,6.80388,12,0,0
1.8875,1.4375,0.5,58.7685135,28.73221825,13.19669225,13.60776,11,0,0
1.2125,0.9625,0.325,16.102516,7.10154975,5.046211,4.365823,7,1,0
1.6875,1.3125,0.4625,44.9906565,19.66037825,9.525432,11.1980525,13,0,1
1.625,1.2375,0.4,37.15201975,16.3576615,9.39785925,10.0640725,9,0,0
1.6,1.4625,0.4875,46.6916265,20.48251375,9.3836845,13.3526145,12,0,1
1.4625,1.1375,0.35,27.499015,13.097469,5.2446575,8.3631025,9,0,1
1.2625,0.9625,0.2875,17.463292,6.8889285,3.04757125,5.953395,11,0,0
0.9625,0.7125,0.2125,6.917278,3.44446425,1.26155275,1.927766,8,1,0
1.0875,0.8125,0.3,11.32562525,5.14543425,1.7293195,3.18931875,8,1,0
1.6125,1.2625,0.4625,41.4753185,16.782904,11.07047975,11.793392,10,0,1
1.6625,1.3125,0.45,40.5114355,19.03668925,8.221355,11.3398,12,0,1
1.6125,1.325,0.4875,39.405805,18.32795175,8.34892775,10.58853825,10,0,1
1.0875,0.8875,0.3125,11.55242125,4.35164825,2.097863,4.6776675,9,1,0
1.325,1.0,0.3125,17.4916415,7.9095105,3.6003865,5.386405,8,1,0
1.65,1.2625,0.475,40.78075575,19.20678625,8.0796075,5.046211,11,0,1
1.6375,1.3,0.4375,41.730464,17.78931125,7.654365,12.757275,13,0,0
1.4125,1.1,0.3375,23.530085,11.1413535,4.91863825,6.747181,9,0,0
0.6125,0.4875,0.15,2.6932025,1.26155275,0.69456275,0.737087,4,1,0
1.325,1.025,0.375,17.349894,6.90310325,4.32329875,5.37223025,11,1,0
1.2,0.975,0.3125,19.57532975,6.2085405,4.3941725,5.6699,12,0,0
1.2,0.9,0.3125,15.365429,7.92368525,2.90582375,4.1673765,7,1,0
0.8375,0.625,0.1875,5.17378375,1.99863975,1.247378,1.5592225,7,1,0
1.0625,0.825,0.2875,11.509897,4.63514325,2.2963095,3.84135725,8,0,0
1.4625,1.15,0.4125,31.56716825,16.51358375,6.64795775,7.767763,10,0,1
1.4625,1.1375,0.3625,27.0170735,11.18387775,7.61184075,7.314171,10,0,1
1.45,1.125,0.4625,28.22192725,11.18387775,7.711064,8.0796075,11,0,0
1.2,0.9125,0.325,15.03940975,6.81805475,3.6003865,3.9405805,8,0,1
1.1375,0.875,0.325,13.39513875,6.0951425,2.11203775,4.252425,9,1,0
1.525,0.9125,0.3875,30.51823675,13.834556,7.0590255,7.654365,9,0,1
1.3125,1.0,0.2875,17.84601025,7.24329725,4.082328,5.10291,11,0,0
1.5375,1.175,0.3625,29.15746075,12.57300325,8.00873375,8.0796075,11,0,1
1.5375,1.2,0.475,38.55532,15.03940975,6.73300625,13.324265,18,0,1
1.6375,1.2875,0.425,43.2896865,24.05455075,7.47009325,9.3836845,11,0,0
1.65,1.3,0.5,47.513762,19.0792135,13.62193475,12.757275,17,0,0
1.4625,1.125,0.4375,31.96406125,13.96212875,7.427569,9.4970825,11,0,1
1.275,1.025,0.3875,36.35823375,16.1308655,8.2497045,10.75863525,9,0,1
0.7375,0.5375,0.1875,3.6570855,1.417475,0.83631025,1.13398,7,0,1
1.25,0.9375,0.2875,16.85377775,5.2446575,4.195726,5.386405,11,0,0
1.7,1.3375,0.4625,45.5576465,20.53921275,9.11436425,14.118051,12,0,1
1.3125,1.0625,0.3625,22.66542525,9.48290775,5.9250455,6.80388,15,0,0
1.325,0.9875,0.2875,13.4660125,5.74077375,2.8632995,4.195726,8,1,0
1.125,0.8,0.25,10.8011595,4.83358975,2.1262125,3.2601925,9,0,1
1.35,0.975,0.3125,17.73261225,7.15824875,4.479221,5.386405,8,1,0
1.5125,1.2875,0.425,36.5425055,17.0097,8.34892775,9.39785925,9,0,0
1.4125,1.125,0.4,22.5378525,10.21999475,4.40834725,6.520385,12,0,0
1.1875,0.925,0.3125,14.44407025,6.13766675,3.18931875,4.6776675,9,0,1
1.6875,1.3625,0.4625,49.25725625,24.834162,8.88756825,13.2959155,13,0,1
1.575,1.2375,0.475,33.04134225,15.195332,5.99591925,4.60679375,10,0,0
1.45,1.15,0.4375,33.0271675,18.427175,6.25106475,8.66077225,9,0,0
1.1125,0.8625,0.325,11.55242125,3.86970675,1.82854275,5.10291,11,1,0
1.275,1.0,0.325,16.25843825,6.2085405,3.86970675,5.5281525,13,0,0
1.3875,1.0875,0.35,21.24795025,9.6671795,4.66349275,6.066793,8,0,1
1.75,1.3125,0.475,46.67745175,24.22464775,8.7032965,11.32562525,9,0,0
1.725,1.4,0.5375,48.7327905,19.27766,8.4765005,13.324265,17,0,0
1.0875,0.8375,0.275,11.6516445,5.74077375,2.67902775,2.83495,7,1,0
1.15,0.8625,0.2625,11.7650425,5.3013565,2.4664065,3.118445,8,1,0
1.225,0.975,0.3,14.4865945,6.25106475,2.9199985,4.94698775,9,1,0
1.6125,1.3,0.475,37.15201975,16.44271,8.164656,10.489315,12,0,0
1.525,1.1875,0.3875,27.8675585,12.94154675,6.463686,7.540967,10,0,1
1.4,1.0625,0.3125,26.421734,10.2341695,6.0384435,9.4970825,9,0,0
1.0625,0.775,0.2375,9.93649975,4.66349275,2.0128145,2.83495,8,1,0
1.5375,1.15,0.475,30.220567,12.28950825,6.406987,9.355335,13,1,0
1.6375,1.325,0.4875,39.349106,16.0741665,7.75358825,11.623295,13,0,1
0.675,0.475,0.2,2.2963095,0.75126175,0.55281525,0.850485,6,1,0
1.1,0.8125,0.275,14.07552675,7.314171,3.38776525,3.04757125,8,1,0
1.5125,1.2,0.425,33.55163325,16.499409,6.70465675,8.9867915,10,0,1
1.35,1.0375,0.3375,20.0997955,9.05766525,4.932813,5.2446575,9,1,0
1.1,0.875,0.3125,11.43902325,4.9611625,1.7860185,3.6570855,9,0,0
1.6,1.225,0.3875,31.99241075,13.5227115,7.6260155,9.63883,9,0,1
1.1875,0.9125,0.3,15.025235,7.10154975,2.76407625,4.60679375,10,1,0
1.3,0.9875,0.3375,17.9452335,8.46232575,3.67126025,4.9611625,9,1,0
1.225,0.95,0.3375,15.35125425,6.16601625,2.6932025,5.386405,11,0,1
1.225,0.925,0.35,16.5844575,6.8889285,3.2601925,5.5281525,10,0,0
1.7875,1.3125,0.4625,44.22522,18.86659225,10.8578585,11.4815475,11,0,0
1.5625,1.2875,0.4,35.833768,16.20173925,9.241937,9.1001895,9,0,0
1.45,1.15,0.375,29.7386255,14.75591475,5.48562825,8.6465975,10,0,1
1.5375,1.175,0.3875,30.730858,16.68368075,5.9250455,6.973977,9,0,0
1.25,0.9,0.3,12.4454305,5.31553125,2.99087225,3.69960975,8,1,0
1.75,1.3375,0.4,48.91706225,17.860185,7.47009325,15.30873,19,0,1
0.8375,0.65,0.225,5.57067675,2.48058125,1.1623295,1.587572,7,1,0
1.5,1.15,0.3875,18.86659225,8.0796075,4.2240755,7.6260155,11,0,1
0.8125,0.625,0.1875,4.49339575,2.1262125,0.86465975,1.28990225,6,1,0
1.2125,0.9375,0.275,13.154168,5.71242425,2.551455,4.2240755,8,1,0
1.05,0.8,0.25,9.63883,4.94698775,1.417475,2.67902775,8,1,0
1.45,1.05,0.35,19.8729995,9.31281075,2.891649,6.39281225,9,1,0
0.8375,0.65,0.225,5.20213325,2.211261,0.680388,1.8427175,11,1,0
1.55,1.275,0.4375,36.32988425,16.20173925,6.76135575,11.056305,10,0,1
1.2625,0.975,0.375,19.4194075,10.262519,3.7137845,4.422522,8,1,0
1.575,1.25,0.4375,31.48211975,13.2392165,7.597666,9.3269855,10,0,0
1.5,1.2,0.375,29.1716355,11.58077075,7.66853975,8.3631025,16,0,0
1.575,1.2,0.375,36.0322145,18.72484475,6.87475375,8.788345,11,0,1
0.9625,0.7125,0.2625,8.23552975,3.44446425,1.94194075,2.48058125,12,0,1
1.475,1.175,0.3375,33.12639075,15.2803805,7.9095105,7.93786,8,0,1
1.2,0.8875,0.275,12.74310025,5.6982495,2.5231055,3.96893,8,1,0
1.725,1.375,0.5,52.34735175,20.751834,13.380964,16.159215,19,0,1
1.5625,1.2125,0.4,34.40211825,17.8885345,6.33611325,8.561549,9,0,1
1.7125,1.3375,0.3875,39.24988275,18.75319425,6.08096775,11.55242125,10,0,1
1.4,1.1375,0.3125,26.7335785,9.752228,3.6570855,10.6310625,21,0,0
0.8,0.6125,0.2,4.49339575,1.80019325,0.92135875,1.417475,13,1,0
1.1625,0.9,0.2625,14.118051,6.066793,3.288542,3.96893,15,1,0
0.8375,0.6125,0.225,4.72019175,1.68679525,1.13398,1.70097,6,1,0
1.2,0.95,0.3,17.236496,7.66853975,3.98310475,5.2446575,8,0,0
1.125,0.8875,0.2875,12.43125575,5.216308,3.061746,3.18931875,11,1,0
1.5625,1.175,0.45,32.205032,12.7856245,9.19941275,8.6465975,11,0,1
1.45,1.125,0.425,27.51318975,13.08329425,6.577084,7.030676,9,0,0
1.0625,0.8125,0.2875,10.44679075,4.592619,2.45223175,2.96252275,7,1,0
1.325,1.025,0.3625,23.40251225,10.6310625,5.783298,6.9456275,9,0,0
0.65,0.5375,0.2,2.8066005,1.0489315,0.72291225,1.2757275,5,1,0
1.525,1.2375,0.4125,30.71668325,12.82814875,7.7394135,8.9867915,9,0,0
0.525,0.375,0.1375,1.31825175,0.4819415,0.340194,0.4252425,5,1,0
1.5,1.1375,0.3875,26.7902775,12.37455675,5.91087075,7.087375,8,0,1
1.2,0.95,0.325,17.50581625,8.50485,4.025629,4.9611625,12,0,1
1.375,1.0125,0.35,22.75047375,6.917278,4.63514325,7.2291225,10,0,1
1.2,0.9,0.25,12.4454305,5.499803,2.8066005,3.2601925,8,0,1
1.375,1.0625,0.3625,25.231055,12.26115875,4.8477645,6.690482,10,1,0
1.125,0.875,0.35,13.437663,5.953395,3.0900955,3.61456125,16,1,0
1.2125,0.9625,0.3125,13.53688625,5.6699,2.22543575,4.819415,12,0,1
0.625,0.45,0.15,2.0695135,0.793786,0.4819415,0.63786375,5,1,0
0.4375,0.3125,0.125,0.66621325,0.226796,0.09922325,0.226796,5,1,0
1.3875,1.0625,0.375,24.7491135,13.11164375,5.23048275,5.57067675,9,0,1
1.3,1.0,0.2625,24.720764,12.79979925,4.57844425,5.62737575,9,0,1
1.0625,0.8125,0.275,11.4815475,4.80524025,2.608154,3.01922175,8,1,0
1.2375,1.0,0.3875,18.27125275,6.860579,3.75630875,5.8116475,17,0,0
1.5625,1.2375,0.4375,34.23202125,15.0535845,7.9662095,9.99319875,11,0,1
0.95,0.725,0.2125,6.47786075,2.494756,1.31825175,2.1262125,7,1,0
1.4375,1.1625,0.3,29.86619825,14.628342,6.19436575,6.6621325,9,0,1
0.9125,0.675,0.225,6.10931725,2.84912475,1.3891255,1.85689225,6,1,0
1.6875,1.325,0.4375,41.00755175,19.20678625,9.355335,11.0279555,10,0,0
1.3375,1.1,0.4125,24.8058125,7.9095105,5.10291,8.50485,10,0,1
1.675,1.2875,0.4125,33.26813825,14.911837,8.0796075,8.958442,11,0,1
1.15,0.8625,0.275,10.64523725,4.32329875,1.644271,3.5436875,7,1,0
1.15,0.9,0.35,12.6722265,4.5642695,2.4664065,4.53592,9,1,0
1.175,0.875,0.3625,14.67086625,5.3013565,3.50116325,5.10291,11,0,0
0.8875,0.675,0.1875,5.783298,8.63242275,1.304077,1.68679525,7,1,0
0.95,0.75,0.25,7.10154975,3.005047,1.51669825,2.19708625,8,0,1
1.75,1.3625,0.325,44.111822,19.06503875,10.602713,5.5281525,12,0,0
1.1875,0.875,0.275,12.94154675,5.839997,2.8066005,3.685435,6,1,0
0.4625,0.3375,0.1,0.7654365,0.29766975,0.15592225,0.2551455,5,1,0
1.3,0.9875,0.3625,21.829115,12.020188,4.025629,5.37223025,7,1,0
1.1375,0.9375,0.3125,13.721158,6.10931725,2.891649,4.6776675,7,0,1
0.9,0.75,0.2125,7.654365,3.35941575,1.814368,2.11203775,7,1,0
1.5625,1.2875,0.4125,34.5013415,18.9091165,5.85417175,8.83086925,10,0,1
1.125,0.9125,0.3125,13.097469,6.05261825,2.79242575,3.72795925,8,1,0
1.4625,1.125,0.375,25.27357925,11.26892625,5.76912325,7.1724235,8,1,0
